Strategy 1,Strategy 2,Strategy 3,Strategy 4,Strategy 5,Strategy 6,Strategy 7,Action,Number of Alerts,Sum of alert weights,Reward,Done,Timestamp
True,True,True,False,False,False,False,6,4,9,-39,False,2023-12-17 23:52:43.902459
False,True,True,False,False,False,False,1,4,13,-54,False,2023-12-17 23:52:58.969704
False,False,True,False,False,False,False,2,5,18,-73,False,2023-12-17 23:53:14.031136
True,False,True,False,False,False,False,1,6,17,-70,False,2023-12-17 23:53:29.086814
True,False,True,False,True,False,False,5,5,16,-67,False,2023-12-17 23:53:44.147424
True,True,True,False,True,False,False,2,3,8,-36,False,2023-12-17 23:53:59.210180
True,True,True,True,True,False,False,4,2,6,-29,False,2023-12-17 23:54:14.270269
True,True,True,True,False,False,False,5,3,7,-32,False,2023-12-17 23:54:29.327245
False,True,True,True,False,False,False,1,3,11,-47,False,2023-12-17 23:54:44.382048
False,True,True,False,False,False,False,4,4,13,-54,False,2023-12-17 23:54:59.440155
True,True,True,False,False,False,False,1,3,8,-35,False,2023-12-17 23:55:14.500307
True,True,False,False,False,False,False,3,4,9,-38,False,2023-12-17 23:55:29.556636
True,True,True,False,False,False,False,3,3,8,-35,False,2023-12-17 23:55:44.621801
True,True,True,False,False,True,False,6,1,2,-12,False,2023-12-17 23:55:59.691512
True,True,True,False,False,True,True,7,1,2,-13,False,2023-12-17 23:56:14.778247
True,True,True,False,False,False,True,6,1,2,-12,False,2023-12-17 23:56:29.859242
True,True,True,False,False,False,False,7,3,8,-35,False,2023-12-17 23:56:44.912836
True,False,True,False,False,False,False,2,4,13,-54,False,2023-12-17 23:56:59.966341
True,False,True,True,False,False,False,4,4,12,-51,False,2023-12-17 23:57:15.021770
True,False,True,True,False,False,False,0,4,12,-51,False,2023-12-17 23:57:30.086351
True,False,True,True,True,False,False,5,3,11,-48,False,2023-12-17 23:57:45.141013
True,True,True,True,True,False,False,2,2,6,-29,False,2023-12-17 23:58:00.193957
True,False,True,True,True,False,False,2,3,11,-48,False,2023-12-17 23:58:15.252338
True,False,True,True,True,True,False,6,2,8,-37,False,2023-12-17 23:58:30.325396
True,False,True,True,True,True,False,0,1,5,-25,False,2023-12-17 23:58:45.387765
True,False,False,True,True,True,False,3,1,5,-24,False,2023-12-17 23:59:00.445056
True,True,False,True,True,True,False,2,0,0,5,True,2023-12-17 23:59:15.516380
False,True,False,False,False,False,False,2,5,14,-57,False,2023-12-17 23:59:30.579518
False,False,False,False,False,False,False,2,7,22,-88,False,2023-12-17 23:59:45.635828
False,False,False,False,False,False,True,7,4,13,-53,False,2023-12-18 00:00:00.699838
False,False,False,True,False,False,True,4,3,11,-46,False,2023-12-18 00:00:15.761429
True,False,False,True,False,False,True,1,2,6,-27,False,2023-12-18 00:00:30.815478
True,False,True,True,False,False,True,3,1,5,-24,False,2023-12-18 00:00:45.877770
True,True,True,True,False,False,True,2,0,0,5,True,2023-12-18 00:01:00.935347
False,True,False,False,False,False,False,2,5,14,-57,False,2023-12-18 00:01:15.996732
True,True,False,False,False,False,False,1,4,9,-38,False,2023-12-18 00:01:31.061425
True,True,False,False,False,False,False,0,5,12,-50,False,2023-12-18 00:01:46.131767
True,True,False,False,False,False,True,7,2,3,-15,False,2023-12-18 00:02:01.199352
True,True,False,True,False,False,True,4,1,1,-8,False,2023-12-18 00:02:16.256356
